id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
1243,WashingMachine,500,500,30,486,697,5
1244,Dryers,400,50,5,488,457,3
1245,Ovens,200,30,50,490,567,5
1246,Microwaves,100,5,70,492,466,5
1247,Air Conditioner,450,50,20,494,55,7
1248,Cameras,670,70,30,496,367,3
1249,Drone,890,20,23,498,45,4
1250,Virtual Reality Headsets,670,30,700,500,36,7
1251,Fitness Trackers,450,23,50,502,457,5
1252,Headphones ,340,700,50,504,33,2
1253,Earpods,750,50,400,506,4,6
1254,Blutooth Headphones,670,400,7,508,5,4
1255,Speakers,340,7,3,510,6,3
1256,Power Bank,250,3,5,512,7,8
1257,External Hard Dirves,450,5,100,514,67,3
1258,Printers,760,100,500,516,50,5
1259,Scanners,160,500,50,518,67,6
1260,Proector,2000,50,30,520,46,7
1261,Electronic toothbrushes,450,30,5,522,235,4
1262,Pocket cameras,125,5,50,524,670,8
1263,ATM,500,50,70,526,457,3
1264,Sensors,300,70,20,528,234,2
1265,Smartphones,400,20,30,530,560,5
1266,Computer,500,30,23,532,230,3
1267,Laptop,600,23,700,534,43,7
1268,Wacom Tablet ,700,700,50,536,104,6
1269,Bluetooth Speakers,700,50,400,538,923,4
1270,Television,300,50,7,540,345,4
1271,SmartWatches,500,400,3,542,230,6
1272,Tablet,500,7,5,544,456,8
1273,Video Players,700,3,100,546,1,5
1274,Calculators ,500,5,500,548,23,3
1275,Mobile Phones,600,100,50,550,234,5
1276,Telephone,800,500,30,552,45,5
1277,Landline Phone,700,50,5,554,345,7
1278,Radios,300,30,50,556,567,3
1279,Wakie-Talkies,400,5,70,558,409,4
1280,Routers,500,50,20,560,679,7
1281,Modems,400,70,30,562,567,5
1282,Gaming Coonsoles,200,20,23,564,67,2
1283,Music Players,100,30,700,566,34,6
1284,E-readers,450,23,50,568,54,4
1285,Kindle,670,700,50,570,566,3
1286,Projector,890,50,400,572,66,8
1287,Refrigerator,670,400,7,574,450,3
1288,WashingMachine,450,7,3,576,345,5
1289,Dryers,340,3,5,578,456,6
1290,Ovens,750,5,100,580,564,7
1291,Microwaves,670,100,500,582,456,4
1292,Air Conditioner,340,500,50,584,563,8
1293,Cameras,250,50,30,586,30,3
1294,Drone,450,30,5,588,40,2
1295,Virtual Reality Headsets,760,5,50,590,50,5
1296,Fitness Trackers,160,50,70,592,55,3
1297,Headphones ,2000,70,20,594,34,7
1298,Earpods,450,20,30,596,45,6
1299,Blutooth Headphones,125,30,23,598,35,4
1300,Speakers,500,23,700,600,26,4
1301,Power Bank,300,700,50,602,27,6
1302,External Hard Dirves,400,50,400,604,28,8
1303,Printers,500,50,7,606,49,5
1304,Scanners,600,400,3,608,459,3
1305,Proector,700,7,5,610,678,5
1306,Electronic toothbrushes,700,3,100,612,678,5
1307,Pocket cameras,800,5,500,614,789,7
1308,ATM,300,100,50,616,697,3
1309,Sensors,500,500,30,618,457,4
1310,Smartphones,500,50,5,620,567,7
1311,Computer,700,30,50,622,466,5
1312,Laptop,500,5,70,624,55,2
1313,Wacom Tablet ,600,50,20,626,367,6
1314,Bluetooth Speakers,800,70,30,628,45,4
1315,Television,700,20,23,630,36,3
1316,SmartWatches,300,30,700,632,457,8
1317,Tablet,400,23,50,634,33,3
1318,Video Players,500,700,50,636,4,5
1319,Calculators ,400,50,400,638,5,6
1320,Mobile Phones,200,400,7,640,6,7
1321,Telephone,100,7,3,642,7,4
1322,Landline Phone,450,3,5,644,67,8
1323,Radios,670,5,100,646,50,3
1324,Wakie-Talkies,890,100,500,648,67,2
1325,Routers,670,500,50,650,46,5
1326,Modems,450,50,30,652,235,3
1327,Gaming Coonsoles,340,30,5,654,670,7
1328,Music Players,750,5,50,656,457,6
1329,E-readers,670,50,70,658,234,4
1330,Kindle,340,70,20,660,560,4
1331,Projector,250,20,30,662,230,6
1332,Refrigerator,450,30,23,664,43,8
1333,WashingMachine,760,23,700,666,104,5
1334,Dryers,160,700,50,668,923,3
1335,Ovens,2000,50,400,670,345,5
1336,Microwaves,450,50,7,672,230,5
1337,Air Conditioner,125,400,3,674,456,7
1338,Cameras,500,7,5,676,1,3
1339,Drone,300,3,100,678,23,4
1340,Virtual Reality Headsets,400,5,500,680,234,7
1341,Fitness Trackers,500,100,50,682,45,5
1342,Headphones ,600,500,30,684,345,2
1343,Earpods,700,50,5,686,567,6
1344,Blutooth Headphones,700,30,50,688,409,4
1345,Speakers,300,5,70,690,679,3
1346,Power Bank,500,50,20,692,567,8
1347,External Hard Dirves,500,70,30,694,67,3
1348,Printers,700,20,23,696,34,5
1349,Scanners,500,30,700,698,54,6
1350,Proector,600,23,50,700,566,7
1351,Electronic toothbrushes,800,700,50,702,66,4
1352,Pocket cameras,700,50,400,704,450,8
1353,ATM,300,400,7,706,345,3
1354,Sensors,400,7,3,708,456,2
1355,Smartphones,500,3,5,710,564,5
1356,Computer,400,5,100,712,456,3
1357,Laptop,200,100,500,714,563,7
1358,Wacom Tablet ,100,500,50,716,6,6
1359,Bluetooth Speakers,450,50,30,718,12,4
1360,Television,670,30,5,720,67,4
1361,SmartWatches,890,5,50,722,34,6
1362,Tablet,670,50,70,724,57,8
1363,Video Players,450,70,20,726,34,5
1364,Calculators ,340,20,30,728,120,3
1365,Mobile Phones,750,30,23,730,330,5
1366,Telephone,670,23,700,732,23,5
1367,Landline Phone,340,700,50,734,34,7
1368,Radios,250,50,400,736,56,3
1369,Wakie-Talkies,450,50,7,738,78,4
1370,Routers,760,400,3,740,98,7
1371,Modems,160,7,5,742,90,5
1372,Gaming Coonsoles,2000,3,100,744,10,2
1373,Music Players,450,5,500,746,34,6
1374,E-readers,125,100,50,748,20,4
1375,Kindle,500,500,30,750,23,3
1376,Projector,300,50,5,752,30,8
1377,Refrigerator,400,30,50,754,40,3
1378,WashingMachine,500,5,70,756,50,5
1379,Dryers,600,50,20,758,55,6
1380,Ovens,700,70,30,760,34,7
1381,Microwaves,700,20,23,762,45,4
1382,Air Conditioner,300,30,700,764,35,8
1383,Cameras,500,23,50,766,26,3
1384,Drone,500,700,50,768,27,2
1385,Virtual Reality Headsets,700,50,400,770,28,5
1386,Fitness Trackers,500,400,7,772,49,3
1387,Headphones ,600,7,3,774,459,7
1388,Earpods,800,3,5,776,678,6
1389,Blutooth Headphones,700,5,100,778,678,4
1390,Speakers,300,100,500,780,789,4
1391,Power Bank,400,500,50,782,697,6
1392,External Hard Dirves,500,50,30,784,457,8
1393,Printers,400,30,5,786,567,5
1394,Scanners,200,5,50,788,466,3
1395,Proector,100,50,70,790,55,5
1396,Electronic toothbrushes,450,400,20,792,367,5
1397,Pocket cameras,670,7,30,794,45,7
1398,ATM,890,3,23,796,36,3
1399,Sensors,670,5,89,798,457,4
1400,Smartphones,450,100,45,800,33,7
1401,Computer,340,500,35,802,4,5
1402,Laptop,750,50,46,804,5,2
1403,Wacom Tablet ,670,30,78,806,6,6
1404,Bluetooth Speakers,340,5,56,808,7,4
1405,Television,250,50,345,810,67,3
1406,SmartWatches,450,70,465,812,50,8
1407,Tablet,760,20,567,814,67,3
1408,Video Players,160,30,765,816,46,5
1409,Calculators ,2000,23,879,818,235,6
1410,Mobile Phones,450,700,555,820,670,7
1411,Telephone,125,50,234,822,457,4
1412,Landline Phone,500,400,345,824,234,8
1413,Radios,300,7,333,826,560,3
1414,Wakie-Talkies,400,3,234,828,230,2
1415,Routers,500,5,254,830,43,5
1416,Modems,600,100,213,832,104,3
1417,Gaming Coonsoles,700,500,346,834,923,7
1418,Music Players,700,50,764,836,345,6
1419,E-readers,300,30,768,838,230,4
1420,Kindle,500,5,423,840,456,4
1421,Projector,500,50,986,842,1,6
1422,Refrigerator,700,70,999,844,23,8
1423,WashingMachine,500,20,123,846,234,5
1424,Dryers,600,30,45,848,45,3
1425,Ovens,800,23,32,850,345,5
1426,Microwaves,700,700,78,852,567,5
1427,Air Conditioner,300,50,45,854,409,7
1428,Cameras,400,50,12,856,679,3
1429,Drone,500,400,345,858,567,4
1430,Virtual Reality Headsets,400,7,123,860,67,7
1431,Fitness Trackers,200,3,100,862,34,5
1432,Headphones ,100,5,125,864,54,2
1433,Earpods,450,100,135,866,566,6
1434,Blutooth Headphones,670,500,167,868,66,4
1435,Speakers,890,50,175,870,450,3
1436,Power Bank,670,30,197,872,345,8
1437,External Hard Dirves,450,5,789,874,456,3
1438,Printers,340,50,987,876,564,5
1439,Scanners,750,70,678,878,456,6
1440,Proector,670,20,567,880,563,7
1441,Electronic toothbrushes,340,30,453,882,6,4
1442,Pocket cameras,250,23,34,884,12,8
1443,ATM,450,700,56,886,67,3
1444,Sensors,760,50,76,888,34,2
1445,Smartphones,160,400,35,890,57,5
1446,Computer,2000,7,78,892,34,3
1447,Laptop,450,3,570,894,120,7
1448,Wacom Tablet ,125,5,98,896,330,6
1449,Bluetooth Speakers,500,100,90,898,23,4
1450,Television,300,500,70,900,34,4
1451,SmartWatches,400,50,679,902,56,6
1452,Tablet,500,30,3,904,78,8
1453,Video Players,600,5,6,906,98,5
1454,Calculators ,700,50,8,908,90,3
1455,Mobile Phones,700,70,5,910,10,5
1456,Telephone,300,20,9,912,34,5
1457,Landline Phone,500,30,3,914,20,7
1458,Radios,500,23,5,916,23,3
1459,Wakie-Talkies,700,700,2,918,30,4
1460,Routers,500,50,7,920,40,7
1461,Modems,600,50,90,922,50,5
1462,Gaming Coonsoles,800,400,120,924,55,2
1463,Music Players,700,7,345,926,34,6
1464,E-readers,300,3,456,928,45,4
1465,Kindle,400,5,678,930,35,3
1466,Projector,500,100,347,932,26,8
1467,Refrigerator,400,500,70,934,27,3
1468,WashingMachine,200,50,72,936,28,5
1469,Dryers,100,30,48,938,49,6
1470,Ovens,450,5,32,940,459,7
1471,Microwaves,670,50,20,942,678,4
1472,Air Conditioner,890,70,34,944,678,8
1473,Cameras,670,20,45,946,789,3
1474,Drone,450,30,10,948,697,2
1475,Virtual Reality Headsets,340,23,11,950,457,5
1476,Fitness Trackers,750,700,15,952,567,3
1477,Headphones ,670,50,19,954,466,7
1478,Earpods,340,400,4,956,55,6
1479,Blutooth Headphones,250,7,9,958,367,4
1480,Speakers,450,3,6,960,45,4
1481,Power Bank,760,5,38,962,36,6
1482,External Hard Dirves,160,100,33,964,457,8
1483,Printers,2000,500,55,966,33,5
1484,Scanners,450,50,78,968,4,3
1485,Proector,125,30,45,970,5,5
1486,Electronic toothbrushes,500,5,26,972,6,5
1487,Pocket cameras,300,50,98,974,7,7
1488,ATM,400,70,66,976,67,3
1489,Sensors,500,20,77,978,50,4
1490,Smartphones,600,30,88,980,67,7
1491,Computer,700,23,99,982,46,5
1492,Laptop,700,700,333,984,235,2
1493,Wacom Tablet ,300,50,45,986,670,6
1494,Bluetooth Speakers,500,50,345,988,457,4
1495,Television,500,400,12,990,234,3
1496,SmartWatches,700,7,55,992,560,8
1497,Tablet,500,3,36,994,230,3
1498,Video Players,600,5,67,996,43,5
1499,Calculators ,800,100,23,998,104,6
1500,Mobile Phones,700,500,700,1000,923,7
1501,Telephone,300,50,50,2,345,4
1502,Landline Phone,400,30,50,4,230,8
1503,Radios,500,5,400,6,456,3
1504,Wakie-Talkies,400,50,7,8,1,2
1505,Routers,200,70,3,10,23,5
1506,Modems,100,20,5,12,234,3
1507,Gaming Coonsoles,450,30,100,14,45,7
1508,Music Players,670,23,500,16,345,6
1509,E-readers,890,700,50,18,567,4
1510,Kindle,670,50,30,20,409,4
1511,Projector,450,400,5,22,679,6
1512,Refrigerator,340,7,50,24,567,8
1513,WashingMachine,750,3,70,26,67,5
1514,Dryers,670,5,20,28,34,3
1515,Ovens,340,100,30,30,54,5
1516,Microwaves,250,500,23,32,566,5
1517,Air Conditioner,450,50,700,34,66,7
1518,Cameras,760,30,50,36,450,3
1519,Drone,160,5,400,38,345,4
1520,Virtual Reality Headsets,2000,50,7,40,456,7
1521,Fitness Trackers,450,400,3,42,564,5
1522,Headphones ,125,7,5,44,456,2
1523,Earpods,500,3,100,46,563,6
1524,Blutooth Headphones,300,5,500,48,30,4
1525,Speakers,400,100,50,50,40,3
1526,Power Bank,500,500,30,52,50,8
1527,External Hard Dirves,600,50,5,54,55,3
1528,Printers,700,30,50,56,34,5
1529,Scanners,700,5,70,58,45,6
1530,Proector,800,50,20,60,35,7
1531,Electronic toothbrushes,300,70,30,62,26,4
1532,Pocket cameras,500,20,23,64,27,8
1533,ATM,500,30,700,66,28,3
1534,Sensors,700,23,50,68,49,2
1535,Smartphones,500,700,50,70,459,5
1536,Computer,600,50,400,72,678,3
1537,Laptop,800,400,7,74,678,7
1538,Wacom Tablet ,700,7,3,76,789,6
1539,Bluetooth Speakers,300,3,5,78,697,4
1540,Television,400,5,100,80,457,4
1541,SmartWatches,500,100,500,82,567,6
1542,Tablet,400,500,50,84,466,8
1543,Video Players,200,50,30,86,55,5
1544,Calculators ,100,30,5,88,367,3
1545,Mobile Phones,450,5,50,90,45,5
1546,Telephone,670,50,70,92,36,5
1547,Landline Phone,890,70,20,94,457,7
1548,Radios,670,20,30,96,33,3
1549,Wakie-Talkies,450,30,23,98,4,4
1550,Routers,340,23,700,100,5,7
1551,Modems,750,700,50,102,6,5
1552,Gaming Coonsoles,670,50,400,104,7,2
1553,Music Players,340,50,7,106,67,6
1554,E-readers,250,400,3,108,50,4
1555,Kindle,450,7,5,110,67,3
1556,Projector,760,3,100,112,46,8
1557,Refrigerator,160,5,500,114,235,3
1558,WashingMachine,2000,100,50,116,670,5
1559,Dryers,450,500,30,118,457,6
1560,Ovens,125,50,5,120,234,7
1561,Microwaves,500,30,50,122,560,4
1562,Air Conditioner,300,5,70,124,230,8
1563,Cameras,400,50,20,126,43,3
1564,Drone,500,70,30,128,104,2
1565,Virtual Reality Headsets,600,20,23,130,923,5
1566,Fitness Trackers,700,30,700,132,345,3
1567,Headphones ,700,23,50,134,230,7
1568,Earpods,300,700,50,136,456,6
1569,Blutooth Headphones,500,50,400,138,1,4
1570,Speakers,500,400,7,140,23,4
1571,Power Bank,700,7,3,142,234,6
1572,External Hard Dirves,500,3,5,144,45,8
1573,Printers,600,5,100,146,345,5
1574,Scanners,800,100,500,148,567,3
1575,Proector,700,500,50,150,409,5
1576,Electronic toothbrushes,300,50,30,152,679,5
1577,Pocket cameras,400,30,5,154,567,7
1578,ATM,500,5,50,156,67,3
1579,Sensors,400,50,70,158,34,4
1580,Smartphones,200,70,20,160,54,7
1581,Computer,100,20,30,162,566,5
1582,Laptop,450,30,23,164,66,2
1583,Wacom Tablet ,670,23,700,166,450,6
1584,Bluetooth Speakers,890,700,50,168,345,4
1585,Television,670,50,400,170,456,3
1586,SmartWatches,450,50,7,172,564,8
1587,Tablet,340,400,3,174,456,3
1588,Video Players,750,7,5,176,563,5
1589,Calculators ,670,3,100,178,6,6
1590,Mobile Phones,340,5,500,180,12,7
1591,Telephone,250,100,50,182,67,4
1592,Landline Phone,450,500,30,184,34,8
1593,Radios,760,50,5,186,57,3
1594,Wakie-Talkies,160,30,50,188,34,2
1595,Routers,2000,5,70,190,120,5
1596,Modems,450,50,20,192,330,3
1597,Gaming Coonsoles,125,70,30,194,23,7
1598,Music Players,500,20,23,196,34,6
1599,E-readers,300,30,700,198,56,4
1600,Kindle,400,23,50,200,78,4
1601,Projector,500,700,50,202,98,6
1602,Refrigerator,600,50,400,204,90,8
1603,WashingMachine,700,400,7,206,10,5
1604,Dryers,700,7,3,208,34,3
1605,Ovens,300,3,5,210,20,5
1606,Microwaves,500,5,100,212,23,5
1607,Air Conditioner,500,100,500,214,30,7
1608,Cameras,700,500,50,216,40,3
1609,Drone,500,50,30,218,50,4
1610,Virtual Reality Headsets,600,30,5,220,55,7
1611,Fitness Trackers,800,5,50,222,34,5
1612,Headphones ,700,50,70,224,45,2
1613,Earpods,300,70,20,226,35,6
1614,Blutooth Headphones,400,20,30,228,26,4
1615,Speakers,500,30,23,230,27,3
1616,Power Bank,400,23,700,232,28,8
1617,External Hard Dirves,200,700,50,234,49,3
1618,Printers,100,50,400,236,459,5
1619,Scanners,450,50,7,238,678,6
1620,Proector,670,400,3,240,678,7
1621,Electronic toothbrushes,890,7,5,242,789,4
1622,Pocket cameras,670,3,100,244,697,8
1623,ATM,450,5,500,246,457,3
1624,Sensors,340,100,50,248,567,2
1625,Smartphones,750,500,30,250,466,5
1626,Computer,670,50,5,252,55,3
1627,Laptop,340,30,50,254,367,7
1628,Wacom Tablet ,250,5,70,256,45,6
1629,Bluetooth Speakers,450,50,20,258,36,4
1630,Television,760,70,30,260,457,4
1631,SmartWatches,160,20,23,262,33,6
1632,Tablet,2000,30,700,264,4,8
1633,Video Players,450,23,50,266,5,5
1634,Calculators ,125,700,50,268,6,3
1635,Mobile Phones,500,50,400,270,7,5
1636,Telephone,300,400,7,272,67,5
1637,Landline Phone,400,7,3,274,50,7
1638,Radios,500,3,5,276,67,3
1639,Wakie-Talkies,600,5,100,278,46,4
1640,Routers,700,100,500,280,235,7
1641,Modems,700,500,50,282,670,5
1642,Gaming Coonsoles,300,50,30,284,457,2
1643,Music Players,500,30,5,286,234,6
1644,E-readers,500,5,50,288,560,4
1645,Kindle,700,50,70,290,230,3
1646,Projector,500,400,20,292,43,8
1647,Refrigerator,600,7,30,294,104,3
1648,WashingMachine,800,3,23,296,923,5
1649,Dryers,700,5,700,298,345,6
1650,Ovens,300,100,50,300,230,7
1651,Microwaves,400,500,400,302,456,4
1652,Air Conditioner,500,50,7,304,1,8
1653,Cameras,400,30,3,306,23,3
1654,Drone,200,5,5,308,234,2
1655,Virtual Reality Headsets,100,50,100,310,45,5
1656,Fitness Trackers,450,70,500,312,345,3
1657,Headphones ,670,20,50,314,567,7
1658,Earpods,890,30,30,316,409,6
1659,Blutooth Headphones,670,23,5,318,679,4
1660,Speakers,450,700,50,320,567,4
1661,Power Bank,340,50,70,322,67,6
1662,External Hard Dirves,750,400,20,324,34,8
1663,Printers,670,7,30,326,54,5
1664,Scanners,340,3,23,328,566,3
1665,Proector,250,5,700,330,66,5
1666,Electronic toothbrushes,450,100,50,332,450,5
1667,Pocket cameras,760,500,50,334,345,7
1668,ATM,160,50,400,336,456,3
1669,Sensors,2000,30,7,338,564,4
1670,Smartphones,450,5,3,340,456,7
1671,Computer,125,50,5,342,563,5
1672,Laptop,500,70,100,344,6,2
1673,Wacom Tablet ,300,20,500,346,12,6
1674,Bluetooth Speakers,400,30,50,348,67,4
1675,Television,500,23,30,350,34,3
1676,SmartWatches,600,700,5,352,57,8
1677,Tablet,700,50,50,354,34,3
1678,Video Players,700,50,70,356,120,5
1679,Calculators ,300,400,20,358,330,6
1680,Mobile Phones,500,7,30,360,23,7
1681,Telephone,500,3,23,362,34,4
1682,Landline Phone,700,5,23,364,56,8
1683,Radios,500,100,700,366,78,3
1684,Wakie-Talkies,600,500,50,368,98,2
1685,Routers,800,50,50,370,90,5
1686,Modems,700,30,400,372,10,3
1687,Gaming Coonsoles,300,5,7,374,34,7
1688,Music Players,400,50,3,376,20,6
1689,E-readers,500,70,5,378,23,4
1690,Kindle,400,20,100,380,30,4
1691,Projector,200,30,500,382,40,6
1692,Refrigerator,100,23,50,384,50,8
1693,WashingMachine,450,700,30,386,55,5
1694,Dryers,670,50,5,388,34,3
1695,Ovens,890,400,50,390,45,5
1696,Microwaves,670,7,70,392,35,5
1697,Air Conditioner,450,3,20,394,26,7
1698,Cameras,340,5,30,396,27,3
1699,Drone,750,100,23,398,28,4
1700,Virtual Reality Headsets,670,500,700,400,49,7
1701,Fitness Trackers,340,50,50,402,459,5
1702,Headphones ,250,30,400,404,678,2
1703,Earpods,450,5,7,406,678,6
1704,Blutooth Headphones,760,50,3,408,789,4
1705,Speakers,160,70,5,410,697,3
1706,Power Bank,2000,20,100,412,457,8
1707,External Hard Dirves,450,30,500,414,567,3
1708,Printers,125,23,50,416,466,5
1709,Scanners,500,700,30,418,55,6
1710,Proector,300,50,5,420,367,7
1711,Electronic toothbrushes,400,50,50,422,45,4
1712,Pocket cameras,500,400,70,424,36,8
1713,ATM,600,7,20,426,457,3
1714,Sensors,700,3,30,428,33,2
1715,Smartphones,700,5,23,430,4,5
1716,Computer,300,100,700,432,5,3
1717,Laptop,500,500,50,434,6,7
1718,Wacom Tablet ,500,50,50,436,7,6
1719,Bluetooth Speakers,700,30,400,438,67,4
1720,Television,500,5,7,440,50,4
1721,SmartWatches,600,50,3,442,67,6
1722,Tablet,800,70,5,444,46,8
1723,Video Players,700,20,100,446,235,5
1724,Calculators ,300,30,500,448,670,3
1725,Mobile Phones,400,23,50,450,457,5
1726,Telephone,500,700,30,452,234,5
1727,Landline Phone,400,50,5,454,560,7
1728,Radios,200,400,50,456,230,3
1729,Wakie-Talkies,100,7,70,458,43,4
1730,Routers,450,3,20,460,104,7
1731,Modems,670,5,30,462,923,5
1732,Gaming Coonsoles,890,100,23,464,345,2
1733,Music Players,670,500,700,466,230,6
1734,E-readers,450,50,50,468,456,4
1735,Kindle,340,30,400,470,1,3
1736,Projector,750,5,7,472,23,8
1737,Refrigerator,670,50,3,474,234,3
1738,WashingMachine,340,70,5,476,45,5
1739,Dryers,250,20,100,478,345,6
1740,Ovens,450,30,500,480,567,7
1741,Microwaves,760,23,50,482,409,4
1742,Air Conditioner,160,700,30,484,679,8
1743,Cameras,2000,50,5,486,567,3
1744,Drone,450,50,50,488,67,2
1745,Virtual Reality Headsets,125,400,70,490,34,5
1746,Fitness Trackers,500,7,20,492,54,3
1747,Headphones ,300,3,30,494,566,7
1748,Earpods,400,5,23,496,66,6
1749,Blutooth Headphones,500,100,700,498,450,4
1750,Speakers,600,500,50,500,345,4
1751,Power Bank,700,50,50,502,456,6
1752,External Hard Dirves,700,30,400,504,564,8
1753,Printers,800,5,7,506,456,5
1754,Scanners,300,50,3,508,563,3
1755,Proector,500,70,5,510,560,5
1756,Electronic toothbrushes,500,20,100,512,230,5
1757,Pocket cameras,700,30,500,514,43,7
1758,ATM,500,23,50,516,104,3
1759,Sensors,600,700,30,518,923,4
1760,Smartphones,800,50,5,520,345,7
1761,Computer,700,400,50,522,230,5
1762,Laptop,300,7,70,524,456,2
1763,Wacom Tablet ,400,3,20,526,1,6
1764,Bluetooth Speakers,500,5,30,528,23,4
1765,Television,400,100,23,530,234,3
1766,SmartWatches,200,500,700,532,45,8
1767,Tablet,100,50,50,534,345,3
1768,Video Players,450,30,400,536,567,5
1769,Calculators ,670,5,7,538,409,6
1770,Mobile Phones,890,50,3,540,679,7
1771,Telephone,670,400,5,542,567,4
1772,Landline Phone,450,7,100,544,67,8
1773,Radios,340,3,500,546,34,3
1774,Wakie-Talkies,750,5,50,548,54,2
1775,Routers,670,100,30,550,566,5
1776,Modems,340,500,5,552,66,3
1777,Gaming Coonsoles,250,50,50,554,450,7
1778,Music Players,450,30,70,556,345,6
1779,E-readers,760,5,20,558,456,4
1780,Kindle,160,50,30,560,564,4
1781,Projector,2000,70,23,562,456,6
1782,Refrigerator,450,20,700,564,563,8
1783,WashingMachine,125,30,50,566,6,5
1784,Dryers,500,23,50,568,12,3
1785,Ovens,300,700,400,570,67,5
1786,Microwaves,400,50,7,572,34,5
1787,Air Conditioner,500,400,3,574,57,7
1788,Cameras,600,7,5,576,34,3
1789,Drone,700,3,100,578,120,4
1790,Virtual Reality Headsets,700,5,500,580,330,7
1791,Fitness Trackers,600,100,50,582,23,5
1792,Headphones ,800,500,30,584,34,2
1793,Earpods,600,50,5,586,56,6
1794,Blutooth Headphones,300,30,50,588,78,4
1795,Speakers,500,5,70,590,98,3
1796,Power Bank,500,50,20,592,90,8
1797,External Hard Dirves,700,70,30,594,10,3
1798,Printers,500,20,23,596,34,5
1799,Scanners,600,30,700,598,20,6
1800,Proector,800,23,50,600,23,7
1801,Electronic toothbrushes,700,700,400,602,30,4
1802,Pocket cameras,300,50,7,604,40,8
1803,ATM,400,50,3,606,50,3
1804,Sensors,500,400,5,608,55,2
1805,Smartphones,400,7,100,610,34,5
1806,Computer,200,3,500,612,45,3
1807,Laptop,100,5,50,614,35,7
1808,Wacom Tablet ,450,100,30,616,26,6
1809,Bluetooth Speakers,670,500,5,618,27,4
1810,Television,890,50,50,620,28,4
1811,SmartWatches,670,30,70,622,49,6
1812,Tablet,450,5,20,624,459,8
1813,Video Players,340,50,30,626,678,5
1814,Calculators ,750,70,23,628,678,3
1815,Mobile Phones,670,20,700,630,789,5
1816,Telephone,340,30,50,632,697,5
1817,Landline Phone,250,23,50,634,457,7
1818,Radios,450,700,400,636,567,3
1819,Wakie-Talkies,760,50,7,638,466,4
1820,Routers,160,400,3,640,55,7
1821,Modems,2000,7,5,642,367,5
1822,Gaming Coonsoles,450,3,100,644,45,2
1823,Music Players,125,5,500,646,36,6
1824,E-readers,500,100,50,648,457,4
1825,Kindle,300,500,30,650,33,3
1826,Projector,400,50,5,652,4,8
1827,Refrigerator,500,30,50,654,5,3
1828,WashingMachine,600,5,70,656,6,5
1829,Dryers,700,50,20,658,7,6
1830,Ovens,700,70,30,660,67,7
1831,Microwaves,300,20,23,662,50,4
1832,Air Conditioner,500,30,700,664,67,8
1833,Cameras,500,23,50,666,46,3
1834,Drone,700,700,400,668,235,2
1835,Virtual Reality Headsets,500,50,7,670,670,5
1836,Fitness Trackers,600,50,3,672,457,3
1837,Headphones ,800,400,5,674,234,7
1838,Earpods,700,7,100,676,560,6
1839,Blutooth Headphones,300,3,500,678,230,4
1840,Speakers,400,5,50,680,43,4
1841,Power Bank,500,100,30,682,104,6
1842,External Hard Dirves,400,500,5,684,923,8
1843,Printers,200,50,50,686,345,5
1844,Scanners,100,30,70,688,230,3
1845,Proector,450,5,20,690,456,5
1846,Electronic toothbrushes,670,50,30,692,1,5
1847,Pocket cameras,890,70,23,694,23,7
1848,ATM,670,20,700,696,234,3
1849,Sensors,450,30,50,698,45,4
1850,Smartphones,340,23,50,700,345,7
1851,Computer,750,700,400,702,567,5
1852,Laptop,670,50,7,704,409,2
1853,Wacom Tablet ,340,400,3,706,679,6
1854,Bluetooth Speakers,250,7,5,708,567,4
1855,Television,450,3,100,710,67,3
1856,SmartWatches,760,5,500,712,34,8
1857,Tablet,160,100,50,714,54,3
1858,Video Players,2000,500,30,716,566,5
1859,Calculators ,450,50,5,718,66,6
1860,Mobile Phones,125,30,50,720,450,7
1861,Telephone,500,5,70,722,345,4
1862,Landline Phone,300,50,20,724,456,8
1863,Radios,400,70,30,726,564,3
1864,Wakie-Talkies,500,20,23,728,456,2
1865,Routers,600,30,89,730,563,5
1866,Modems,700,23,45,732,6,3
1867,Gaming Coonsoles,700,700,35,734,12,7
1868,Music Players,300,50,46,736,67,6
1869,E-readers,500,50,78,738,34,4
1870,Kindle,500,400,56,740,57,4
1871,Projector,700,7,345,742,34,6
1872,Refrigerator,500,3,465,744,120,8
1873,WashingMachine,600,5,567,746,330,5
1874,Dryers,800,100,765,748,23,3
1875,Ovens,700,500,879,750,34,5
1876,Microwaves,300,50,555,752,56,5
1877,Air Conditioner,400,30,234,754,78,7
1878,Cameras,500,5,345,756,98,3
1879,Drone,400,50,333,758,90,4
1880,Virtual Reality Headsets,200,70,234,760,10,7
1881,Fitness Trackers,100,20,254,762,34,5
1882,Headphones ,450,30,213,764,20,2
1883,Earpods,670,23,346,766,23,6
1884,Blutooth Headphones,890,700,764,768,30,4
1885,Speakers,670,50,768,770,40,3
1886,Power Bank,450,400,423,772,50,8
1887,External Hard Dirves,340,7,986,774,55,3
1888,Printers,750,3,999,776,34,5
1889,Scanners,670,5,123,778,45,6
1890,Proector,340,100,45,780,35,7
1891,Electronic toothbrushes,250,500,32,782,26,4
1892,Pocket cameras,450,50,78,784,27,8
1893,ATM,760,30,45,786,28,3
1894,Sensors,160,5,12,788,49,2
1895,Smartphones,2000,50,345,790,459,5
1896,Computer,450,400,123,792,678,3
